#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2vi6_G               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
2vi6_H               -             62 phmmer_results       -             57   1.1e-18   71.3   6.0   1   1   8.1e-22   1.2e-18   71.2   6.0     2    57     5    60     4    60 0.98 mol:protein length:62  HOMEOBOX PROTEIN NANOG
1zq3_P               -             68 phmmer_results       -             57   1.2e-18   71.2   1.3   1   1   9.2e-22   1.4e-18   71.0   1.3     1    56     3    58     3    59 0.98 mol:protein length:68  Homeotic bicoid protein
5hod_A               -             61 phmmer_results       -             57   2.5e-18   70.2   2.4   1   1   1.9e-21   2.7e-18   70.0   2.4     1    57     3    59     3    59 0.99 mol:protein length:61  LIM/homeobox protein Lhx4
5hod_D               -             61 phmmer_results       -             57   2.5e-18   70.2   2.4   1   1   1.9e-21   2.7e-18   70.0   2.4     1    57     3    59     3    59 0.99 mol:protein length:61  LIM/homeobox protein Lhx4
4rbo_A               -             70 phmmer_results       -             57   4.4e-18   69.4   6.3   1   1   3.7e-21   5.5e-18   69.1   6.3     2    57     5    60     4    60 0.98 mol:protein length:70  Putative homeobox protein NANOGP8
4rbo_D               -             70 phmmer_results       -             57   4.4e-18   69.4   6.3   1   1   3.7e-21   5.5e-18   69.1   6.3     2    57     5    60     4    60 0.98 mol:protein length:70  Putative homeobox protein NANOGP8
2kt0_A               -             84 phmmer_results       -             57   7.3e-18   68.7   6.3   1   1   6.6e-21   9.9e-18   68.3   6.3     2    57    24    79    23    79 0.98 mol:protein length:84  Homeobox protein NANOG
2p81_A               -             44 phmmer_results       -             57   1.7e-17   67.5   5.0   1   1   1.3e-20     2e-17   67.3   5.0    17    57     3    43     2    43 0.97 mol:protein length:44  Segmentation polarity homeobox protein engrailed
2da2_A               -             70 phmmer_results       -             57   2.8e-17   66.8   0.6   1   1   2.1e-20   3.1e-17   66.6   0.6     1    57     8    64     8    64 0.98 mol:protein length:70  Alpha-fetoprotein enhancer binding protein
2dmq_A               -             80 phmmer_results       -             57   3.8e-15   60.0   4.3   1   1     3e-18   4.4e-15   59.8   4.3     1    57     8    64     8    64 0.98 mol:protein length:80  LIM/homeobox protein Lhx9
2da3_A               -             80 phmmer_results       -             57   1.6e-14   57.9   0.8   1   1   1.3e-17   1.9e-14   57.7   0.8     1    57    18    74    18    74 0.98 mol:protein length:80  Alpha-fetoprotein enhancer binding protein
1f43_A               -             61 phmmer_results       -             57   6.6e-14   56.0   0.3   1   1   4.9e-17   7.3e-14   55.9   0.3     4    56     9    61     6    61 0.92 mol:protein length:61  MATING-TYPE PROTEIN A-1
1yrn_A               -             61 phmmer_results       -             57   6.6e-14   56.0   0.3   1   1   4.9e-17   7.3e-14   55.9   0.3     4    56     9    61     6    61 0.92 mol:protein length:61  PROTEIN (MAT A1 HOMEODOMAIN)
1bw5_A               -             66 phmmer_results       -             57   6.9e-14   55.9   0.1   1   1   5.3e-17   7.9e-14   55.8   0.1     2    57     5    60     4    60 0.98 mol:protein length:66  INSULIN GENE ENHANCER PROTEIN ISL-1
1akh_A               -             61 phmmer_results       -             57     8e-14   55.7   0.2   1   1     6e-17   8.9e-14   55.6   0.2     4    56     9    61     6    61 0.92 mol:protein length:61  PROTEIN (MATING-TYPE PROTEIN A-1)
1le8_A               -             53 phmmer_results       -             57   1.1e-13   55.2   0.8   1   1   7.9e-17   1.2e-13   55.2   0.8     8    56     5    53     1    53 0.92 mol:protein length:53  MATING-TYPE PROTEIN A-1
1b8i_B               -             63 phmmer_results       -             57   2.2e-13   54.3   0.5   1   1   1.8e-16   2.6e-13   54.1   0.5     1    57     2    61     2    61 0.95 mol:protein length:63  PROTEIN (HOMEOBOX PROTEIN EXTRADENTICLE)
2r5y_B               -             63 phmmer_results       -             57   2.2e-13   54.3   0.5   1   1   1.8e-16   2.6e-13   54.1   0.5     1    57     2    61     2    61 0.95 mol:protein length:63  Homeobox protein extradenticle
2r5z_B               -             63 phmmer_results       -             57   2.2e-13   54.3   0.5   1   1   1.8e-16   2.6e-13   54.1   0.5     1    57     2    61     2    61 0.95 mol:protein length:63  Homeobox protein extradenticle
1puf_B               -             73 phmmer_results       -             57   3.1e-13   53.8   0.6   1   1   2.7e-16     4e-13   53.5   0.6     1    57     2    61     2    61 0.95 mol:protein length:73  Pre-B-cell leukemia transcription factor-1
4cyc_B               -             76 phmmer_results       -             57   4.1e-13   53.5   0.5   1   1   3.5e-16   5.1e-13   53.2   0.5     1    57     3    62     3    62 0.95 mol:protein length:76  HOMEOBOX PROTEIN EXTRADENTICLE
4uus_B               -             76 phmmer_results       -             57   4.1e-13   53.5   0.5   1   1   3.5e-16   5.1e-13   53.2   0.5     1    57     3    62     3    62 0.95 mol:protein length:76  HOMEOTIC PROTEIN EXTRADENTICLE
4uus_F               -             76 phmmer_results       -             57   4.1e-13   53.5   0.5   1   1   3.5e-16   5.1e-13   53.2   0.5     1    57     3    62     3    62 0.95 mol:protein length:76  HOMEOTIC PROTEIN EXTRADENTICLE
1b72_B               -             87 phmmer_results       -             57   4.6e-13   53.3   0.6   1   1   4.8e-16   7.1e-13   52.7   0.6     1    57     2    61     2    61 0.95 mol:protein length:87  PROTEIN (PBX1)
1pog_A               -             67 phmmer_results       -             57   1.7e-12   51.5   4.2   1   1   1.3e-15     2e-12   51.3   4.2     1    57     8    64     7    64 0.97 mol:protein length:67  OCT-1 POU HOMEODOMAIN DNA-BINDING PROTEIN
1lfu_P               -             82 phmmer_results       -             57   2.1e-12   51.2   0.9   1   1   1.9e-15   2.8e-12   50.8   0.9     1    57     3    62     3    62 0.95 mol:protein length:82  homeobox protein PBX1
3d1n_I               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
3d1n_J               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
3d1n_K               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
3d1n_L               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
3d1n_M               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
3d1n_N               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
3d1n_O               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
3d1n_P               -            151 phmmer_results       -             57   2.7e-12   50.9   0.8   1   1   1.8e-15   2.7e-12   50.9   0.8     1    56    94   149    94   150 0.97 mol:protein length:151  POU domain, class 6, transcription factor 1
1au7_A               -            146 phmmer_results       -             57   3.4e-12   50.5   2.4   1   1   5.7e-15   8.5e-12   49.2   2.4     1    57    88   144    88   144 0.98 mol:protein length:146  PROTEIN PIT-1
1au7_B               -            146 phmmer_results       -             57   3.4e-12   50.5   2.4   1   1   5.7e-15   8.5e-12   49.2   2.4     1    57    88   144    88   144 0.98 mol:protein length:146  PROTEIN PIT-1
1ocp_A               -             67 phmmer_results       -             57   4.3e-12   50.2   1.1   1   1   3.5e-15   5.1e-12   49.9   1.1     1    57     9    65     9    65 0.97 mol:protein length:67  OCT-3
1mh3_A               -            421 phmmer_results       -             57   5.7e-12   49.8   2.2   1   1   6.2e-15   9.2e-12   49.1   0.6     8    56   373   421   368   421 0.92 mol:protein length:421  maltose binding-a1 homeodomain protein chimera
1mh4_A               -            421 phmmer_results       -             57   5.7e-12   49.8   2.2   1   1   6.2e-15   9.2e-12   49.1   0.6     8    56   373   421   368   421 0.92 mol:protein length:421  maltose binding-a1 homeodomain protein chimera
5wc9_A               -            152 phmmer_results       -             57   1.1e-11   48.9   3.5   1   1   7.2e-15   1.1e-11   48.9   3.5     1    57    94   150    94   150 0.98 mol:protein length:152  Pituitary-specific positive transcription factor 1
5wc9_B               -            152 phmmer_results       -             57   1.1e-11   48.9   3.5   1   1   7.2e-15   1.1e-11   48.9   3.5     1    57    94   150    94   150 0.98 mol:protein length:152  Pituitary-specific positive transcription factor 1
5wc9_E               -            152 phmmer_results       -             57   1.1e-11   48.9   3.5   1   1   7.2e-15   1.1e-11   48.9   3.5     1    57    94   150    94   150 0.98 mol:protein length:152  Pituitary-specific positive transcription factor 1
5wc9_F               -            152 phmmer_results       -             57   1.1e-11   48.9   3.5   1   1   7.2e-15   1.1e-11   48.9   3.5     1    57    94   150    94   150 0.98 mol:protein length:152  Pituitary-specific positive transcription factor 1
1oct_C               -            156 phmmer_results       -             57   1.2e-11   48.8   3.4   1   1   8.1e-15   1.2e-11   48.8   3.4     1    57    97   153    97   153 0.97 mol:protein length:156  PROTEIN (OCT-1 POU DOMAIN)
1cqt_A               -            163 phmmer_results       -             57   1.3e-11   48.6   3.4   1   1   8.9e-15   1.3e-11   48.6   3.4     1    57   104   160   104   160 0.97 mol:protein length:163  POU DOMAIN, CLASS 2, TRANSCRIPTION FACTOR 1
1cqt_B               -            163 phmmer_results       -             57   1.3e-11   48.6   3.4   1   1   8.9e-15   1.3e-11   48.6   3.4     1    57   104   160   104   160 0.97 mol:protein length:163  POU DOMAIN, CLASS 2, TRANSCRIPTION FACTOR 1
1o4x_A               -            167 phmmer_results       -             57   1.4e-11   48.6   3.4   1   1   9.4e-15   1.4e-11   48.6   3.4     1    57   105   161   105   161 0.97 mol:protein length:167  transcription factor Oct-1
1hdp_A               -             63 phmmer_results       -             57   1.5e-11   48.4   4.0   1   1   1.2e-14   1.7e-11   48.2   4.0     1    57     2    58     2    58 0.98 mol:protein length:63  OCT-2 POU HOMEODOMAIN
1gt0_C               -            159 phmmer_results       -             57   2.2e-11   47.9   4.0   1   1   1.5e-14   2.2e-11   47.9   4.0     1    57   101   157   101   157 0.97 mol:protein length:159  OCTAMER-BINDING TRANSCRIPTION FACTOR 1
1hf0_A               -            159 phmmer_results       -             57   2.2e-11   47.9   4.0   1   1   1.5e-14   2.2e-11   47.9   4.0     1    57   101   157   101   157 0.97 mol:protein length:159  OCTAMER-BINDING TRANSCRIPTION FACTOR 1
1hf0_B               -            159 phmmer_results       -             57   2.2e-11   47.9   4.0   1   1   1.5e-14   2.2e-11   47.9   4.0     1    57   101   157   101   157 0.97 mol:protein length:159  OCTAMER-BINDING TRANSCRIPTION FACTOR 1
2da1_A               -             70 phmmer_results       -             57   2.5e-11   47.7   0.8   1   1   1.9e-14   2.8e-11   47.6   0.8     1    56     8    63     8    64 0.96 mol:protein length:70  Alpha-fetoprotein enhancer binding protein
1e3o_C               -            160 phmmer_results       -             57   4.4e-11   47.0   4.0   1   1     3e-14   4.4e-11   47.0   4.0     1    57   102   158   102   158 0.97 mol:protein length:160  OCTAMER-BINDING TRANSCRIPTION FACTOR 1
3l1p_A               -            155 phmmer_results       -             57   9.5e-11   45.9   2.0   1   1   6.4e-14   9.5e-11   45.9   2.0     1    57    97   153    97   153 0.97 mol:protein length:155  POU domain, class 5, transcription factor 1
3l1p_B               -            155 phmmer_results       -             57   9.5e-11   45.9   2.0   1   1   6.4e-14   9.5e-11   45.9   2.0     1    57    97   153    97   153 0.97 mol:protein length:155  POU domain, class 5, transcription factor 1
1du6_A               -             64 phmmer_results       -             57   9.9e-11   45.8   0.0   1   1   7.9e-14   1.2e-10   45.6   0.0     7    57    10    63     6    63 0.86 mol:protein length:64  HOMEOBOX PROTEIN PBX1
4egc_A               -            559 phmmer_results       -             57   1.1e-10   45.7   0.2   1   1   7.4e-14   1.1e-10   45.7   0.2    13    56   507   550   498   551 0.91 mol:protein length:559  Maltose-binding periplasmic protein, Homeobox protein SIX1 chimera
2xsd_C               -            164 phmmer_results       -             57   1.5e-10   45.2   0.3   1   1   3.1e-13   4.6e-10   43.7   0.1     1    57   100   156    99   156 0.94 mol:protein length:164  POU DOMAIN, CLASS 3, TRANSCRIPTION FACTOR 1
2mg4_A               -             66 phmmer_results       -             57   1.3e-08   39.1   5.6   1   1   9.9e-12   1.5e-08   38.9   5.6     1    50     3    52     3    57 0.95 mol:protein length:66  Computational designed homodimer
2mg4_B               -             66 phmmer_results       -             57   1.3e-08   39.1   5.6   1   1   9.9e-12   1.5e-08   38.9   5.6     1    50     3    52     3    57 0.95 mol:protein length:66  Computational designed homodimer
4j19_A               -            113 phmmer_results       -             57   1.6e-08   38.7   0.5   1   2   2.4e-07   0.00036   24.8   0.0     3    38    38    73    36    75 0.90 mol:protein length:113  Homeobox-containing protein 1
4j19_A               -            113 phmmer_results       -             57   1.6e-08   38.7   0.5   2   2     0.002         3   12.3   0.2    32    57    82   107    76   107 0.84 mol:protein length:113  Homeobox-containing protein 1
4j19_B               -            113 phmmer_results       -             57   1.6e-08   38.7   0.5   1   2   2.4e-07   0.00036   24.8   0.0     3    38    38    73    36    75 0.90 mol:protein length:113  Homeobox-containing protein 1
4j19_B               -            113 phmmer_results       -             57   1.6e-08   38.7   0.5   2   2     0.002         3   12.3   0.2    32    57    82   107    76   107 0.84 mol:protein length:113  Homeobox-containing protein 1
2cuf_A               -             95 phmmer_results       -             57   2.4e-08   38.2   1.9   1   2   1.7e-07   0.00025   25.3   0.0     3    38    10    45     8    47 0.90 mol:protein length:95  FLJ21616 protein
2cuf_A               -             95 phmmer_results       -             57   2.4e-08   38.2   1.9   2   2    0.0019       2.9   12.3   0.6    32    57    54    79    48    80 0.85 mol:protein length:95  FLJ21616 protein
2dn0_A               -             76 phmmer_results       -             57   3.4e-08   37.7   0.1   1   1   2.7e-11     4e-08   37.5   0.1     6    56    14    64    11    65 0.94 mol:protein length:76  Zinc fingers and homeoboxes protein 3
1uhs_A               -             72 phmmer_results       -             57   7.2e-08   36.7   0.1   1   1   5.6e-11   8.3e-08   36.5   0.1     6    57     7    59     3    59 0.95 mol:protein length:72  homeodomain only protein
1k61_A               -             60 phmmer_results       -             57   8.8e-08   36.4   1.3   1   1     7e-11     1e-07   36.1   1.3     5    56     3    57     1    58 0.93 mol:protein length:60  Mating-type protein alpha-2
1k61_B               -             60 phmmer_results       -             57   8.8e-08   36.4   1.3   1   1     7e-11     1e-07   36.1   1.3     5    56     3    57     1    58 0.93 mol:protein length:60  Mating-type protein alpha-2
1k61_C               -             60 phmmer_results       -             57   8.8e-08   36.4   1.3   1   1     7e-11     1e-07   36.1   1.3     5    56     3    57     1    58 0.93 mol:protein length:60  Mating-type protein alpha-2
1k61_D               -             60 phmmer_results       -             57   8.8e-08   36.4   1.3   1   1     7e-11     1e-07   36.1   1.3     5    56     3    57     1    58 0.93 mol:protein length:60  Mating-type protein alpha-2
1akh_B               -             83 phmmer_results       -             57   1.3e-07   35.8   0.8   1   1   1.3e-10   1.9e-07   35.3   0.8     5    56     7    61     3    62 0.93 mol:protein length:83  PROTEIN (MATING-TYPE PROTEIN ALPHA-2)
1apl_C               -             83 phmmer_results       -             57   1.3e-07   35.8   0.8   1   1   1.3e-10   1.9e-07   35.3   0.8     5    56     7    61     3    62 0.93 mol:protein length:83  PROTEIN (MAT-ALPHA2 HOMEODOMAIN)
1apl_D               -             83 phmmer_results       -             57   1.3e-07   35.8   0.8   1   1   1.3e-10   1.9e-07   35.3   0.8     5    56     7    61     3    62 0.93 mol:protein length:83  PROTEIN (MAT-ALPHA2 HOMEODOMAIN)
1yrn_B               -             83 phmmer_results       -             57   1.3e-07   35.8   0.8   1   1   1.3e-10   1.9e-07   35.3   0.8     5    56     7    61     3    62 0.93 mol:protein length:83  PROTEIN (MAT ALPHA2 HOMEODOMAIN)
2da5_A               -             75 phmmer_results       -             57   1.4e-07   35.7   0.8   1   1   1.3e-10   1.9e-07   35.3   0.8     7    54    14    61     9    63 0.93 mol:protein length:75  Zinc fingers and homeoboxes protein 3
1mnm_C               -             87 phmmer_results       -             57   1.5e-07   35.6   0.8   1   1   1.5e-10   2.2e-07   35.1   0.8     5    56    32    86    28    87 0.93 mol:protein length:87  PROTEIN (MAT ALPHA-2 TRANSCRIPTIONAL REPRESSOR)
1mnm_D               -             87 phmmer_results       -             57   1.5e-07   35.6   0.8   1   1   1.5e-10   2.2e-07   35.1   0.8     5    56    32    86    28    87 0.93 mol:protein length:87  PROTEIN (MAT ALPHA-2 TRANSCRIPTIONAL REPRESSOR)
3nau_A               -             66 phmmer_results       -             57   1.6e-07   35.5   0.3   1   1   1.2e-10   1.8e-07   35.4   0.3     5    56     9    60     5    61 0.94 mol:protein length:66  Zinc fingers and homeoboxes protein 2
3nau_B               -             66 phmmer_results       -             57   1.6e-07   35.5   0.3   1   1   1.2e-10   1.8e-07   35.4   0.3     5    56     9    60     5    61 0.94 mol:protein length:66  Zinc fingers and homeoboxes protein 2
4ndl_A               -             72 phmmer_results       -             57   3.7e-07   34.4   3.5   1   1   3.1e-10   4.6e-07   34.1   3.5     5    49    22    66    19    72 0.93 mol:protein length:72  ENH-c2b, computational designed homodimer
4ndl_B               -             72 phmmer_results       -             57   3.7e-07   34.4   3.5   1   1   3.1e-10   4.6e-07   34.1   3.5     5    49    22    66    19    72 0.93 mol:protein length:72  ENH-c2b, computational designed homodimer
4ndl_C               -             72 phmmer_results       -             57   3.7e-07   34.4   3.5   1   1   3.1e-10   4.6e-07   34.1   3.5     5    49    22    66    19    72 0.93 mol:protein length:72  ENH-c2b, computational designed homodimer
2hi3_A               -             73 phmmer_results       -             57     4e-07   34.3   0.0   1   1   3.3e-10   4.9e-07   34.0   0.0     8    57    10    60     6    60 0.96 mol:protein length:73  Homeodomain-only protein
2nd6_A               -             17 phmmer_results       -             57   4.2e-07   34.2   7.6   1   1   2.9e-10   4.2e-07   34.2   7.6    41    57     1    17     1    17 0.95 mol:protein length:17  Cell penetrating peptide
2nd7_A               -             17 phmmer_results       -             57   4.2e-07   34.2   7.6   1   1   2.9e-10   4.2e-07   34.2   7.6    41    57     1    17     1    17 0.95 mol:protein length:17  Cell penetrating peptide
2nd8_A               -             17 phmmer_results       -             57   4.2e-07   34.2   7.6   1   1   2.9e-10   4.2e-07   34.2   7.6    41    57     1    17     1    17 0.95 mol:protein length:17  Cell penetrating peptide
3nar_A               -             96 phmmer_results       -             57   5.3e-07   33.9   0.0   1   1   5.5e-10   8.2e-07   33.3   0.0     6    56    31    81    28    82 0.96 mol:protein length:96  Zinc fingers and homeoboxes protein 1
3nar_B               -             96 phmmer_results       -             57   5.3e-07   33.9   0.0   1   1   5.5e-10   8.2e-07   33.3   0.0     6    56    31    81    28    82 0.96 mol:protein length:96  Zinc fingers and homeoboxes protein 1
5eg0_A               -             57 phmmer_results       -             57   5.6e-07   33.8   0.1   1   1   4.9e-10   7.2e-07   33.5   0.1    21    54    19    52    14    54 0.92 mol:protein length:57  Homeobox protein Meis2
4xrs_A               -             58 phmmer_results       -             57   5.9e-07   33.7   0.1   1   1   5.1e-10   7.6e-07   33.4   0.1    21    54    18    51    13    53 0.92 mol:protein length:58  Homeobox protein Meis1
4xrs_B               -             58 phmmer_results       -             57   5.9e-07   33.7   0.1   1   1   5.1e-10   7.6e-07   33.4   0.1    21    54    18    51    13    53 0.92 mol:protein length:58  Homeobox protein Meis1
2cqx_A               -             72 phmmer_results       -             57     6e-07   33.7   0.1   1   1   4.8e-10   7.1e-07   33.5   0.1    14    56    22    65    17    66 0.93 mol:protein length:72  LAG1 longevity assurance homolog 5
4zn8_A               -             51 phmmer_results       -             57   6.1e-07   33.7   6.0   1   1   4.3e-10   6.4e-07   33.6   6.0     5    50     1    46     1    51 0.94 mol:protein length:51  computationally modified engrailed homeodomain
4zn8_B               -             51 phmmer_results       -             57   6.1e-07   33.7   6.0   1   1   4.3e-10   6.4e-07   33.6   6.0     5    50     1    46     1    51 0.94 mol:protein length:51  computationally modified engrailed homeodomain
4zn8_C               -             51 phmmer_results       -             57   6.1e-07   33.7   6.0   1   1   4.3e-10   6.4e-07   33.6   6.0     5    50     1    46     1    51 0.94 mol:protein length:51  computationally modified engrailed homeodomain
4zn8_D               -             51 phmmer_results       -             57   6.1e-07   33.7   6.0   1   1   4.3e-10   6.4e-07   33.6   6.0     5    50     1    46     1    51 0.94 mol:protein length:51  computationally modified engrailed homeodomain
5ego_A               -             57 phmmer_results       -             57   6.1e-07   33.7   0.3   1   1   5.2e-10   7.8e-07   33.4   0.3    21    54    19    52    13    54 0.92 mol:protein length:57  Homeobox protein Meis1
5bng_A               -             60 phmmer_results       -             57   6.4e-07   33.6   0.1   1   1   5.7e-10   8.4e-07   33.2   0.1    21    54    18    51    13    53 0.92 mol:protein length:60  Homeobox protein Meis2
5bng_B               -             60 phmmer_results       -             57   6.4e-07   33.6   0.1   1   1   5.7e-10   8.4e-07   33.2   0.1    21    54    18    51    13    53 0.92 mol:protein length:60  Homeobox protein Meis2
3k2a_A               -             67 phmmer_results       -             57   8.2e-07   33.3   0.1   1   1   7.7e-10   1.1e-06   32.8   0.1    21    54    22    55    17    57 0.92 mol:protein length:67  Homeobox protein Meis2
3k2a_B               -             67 phmmer_results       -             57   8.2e-07   33.3   0.1   1   1   7.7e-10   1.1e-06   32.8   0.1    21    54    22    55    17    57 0.92 mol:protein length:67  Homeobox protein Meis2
1x2n_A               -             73 phmmer_results       -             57   8.4e-07   33.3   0.3   1   1     6e-10   8.9e-07   33.2   0.3    22    54    32    64     8    66 0.89 mol:protein length:73  Homeobox protein PKNOX1
4xrm_A               -             64 phmmer_results       -             57   8.4e-07   33.2   0.3   1   1   7.3e-10   1.1e-06   32.9   0.3    21    54    22    55    16    57 0.92 mol:protein length:64  Homeobox protein Meis2
4xrm_B               -             64 phmmer_results       -             57   8.4e-07   33.2   0.3   1   1   7.3e-10   1.1e-06   32.9   0.3    21    54    22    55    16    57 0.92 mol:protein length:64  Homeobox protein Meis2
2ly9_A               -             74 phmmer_results       -             57   1.1e-06   32.8   0.3   1   1     1e-09   1.5e-06   32.4   0.3     4    56    10    62     9    63 0.95 mol:protein length:74  Zinc fingers and homeoboxes protein 1
2d5v_A               -            164 phmmer_results       -             57   1.2e-06   32.8   0.6   1   1   1.6e-09   2.4e-06   31.8   0.6     1    54    98   151    98   153 0.97 mol:protein length:164  Hepatocyte nuclear factor 6
2d5v_B               -            164 phmmer_results       -             57   1.2e-06   32.8   0.6   1   1   1.6e-09   2.4e-06   31.8   0.6     1    54    98   151    98   153 0.97 mol:protein length:164  Hepatocyte nuclear factor 6
1le8_B               -             83 phmmer_results       -             57     2e-06   32.0   0.4   1   1     2e-09   2.9e-06   31.5   0.4     5    56     7    61     3    62 0.93 mol:protein length:83  Mating-type protein alpha-2
2dmp_A               -             89 phmmer_results       -             57   2.8e-06   31.6   1.5   1   1   2.4e-09   3.5e-06   31.2   1.5     6    52    19    65    15    68 0.94 mol:protein length:89  Zinc fingers and homeoboxes protein 2
1kz0_A               -             16 phmmer_results       -             57   3.1e-06   31.4   9.4   1   1   2.1e-09   3.1e-06   31.4   9.4    42    57     1    16     1    16 0.97 mol:protein length:16  Antennapedia protein
1omq_A               -             16 phmmer_results       -             57   3.1e-06   31.4   9.4   1   1   2.1e-09   3.1e-06   31.4   9.4    42    57     1    16     1    16 0.97 mol:protein length:16  Homeotic antennapedia protein
1s7e_A               -            147 phmmer_results       -             57     4e-06   31.1   0.3   1   1   5.1e-09   7.6e-06   30.2   0.3     1    52    96   147    96   147 0.97 mol:protein length:147  Hepatocyte nuclear factor 6
2dmn_A               -             83 phmmer_results       -             57     1e-05   29.7   0.6   1   1   1.5e-08   2.2e-05   28.7   0.5    20    54    30    64    23    65 0.93 mol:protein length:83  Homeobox protein TGIF2LX
4ndj_A               -            299 phmmer_results       -             57   1.4e-05   29.4   4.7   1   1   1.9e-08   2.9e-05   28.3   4.7     5    49     2    46     1    52 0.94 mol:protein length:299  Green fluorescent protein, chimeric construct,GFP-like fluorescent chromoprotein FP506, related
1x2m_A               -             64 phmmer_results       -             57   1.4e-05   29.4   0.3   1   1     1e-08   1.5e-05   29.2   0.3    13    56    13    57     6    58 0.92 mol:protein length:64  LAG1 longevity assurance homolog 6
2lk2_A               -             89 phmmer_results       -             57   1.7e-05   29.1   0.4   1   1   1.7e-08   2.5e-05   28.5   0.4    19    54    27    62    10    63 0.91 mol:protein length:89  Homeobox protein TGIF1
2nzz_A               -             37 phmmer_results       -             57     2e-05   28.9   9.4   1   1   2.3e-08   3.4e-05   28.1   9.4    42    57     1    16     1    16 0.97 mol:protein length:37  Penetratin conjugated Gas (374-394) peptide
2o00_A               -             37 phmmer_results       -             57     2e-05   28.9   9.4   1   1   2.3e-08   3.4e-05   28.1   9.4    42    57     1    16     1    16 0.97 mol:protein length:37  Penetratin conjugated Gas (374-394) peptide
2ecb_A               -             89 phmmer_results       -             57   4.1e-05   27.8   2.8   1   1   3.8e-08   5.6e-05   27.4   2.8     6    52    17    63    13    67 0.92 mol:protein length:89  Zinc fingers and homeoboxes protein 1
4ndk_A               -            299 phmmer_results       -             57   6.3e-05   27.3   4.2   1   1   8.9e-08   0.00013   26.2   4.2     5    49     2    46     1    52 0.93 mol:protein length:299  E23P-YFP, GFP-like fluorescent chromoprotein FP506, related, chimeric construct,
4ndk_B               -            299 phmmer_results       -             57   6.3e-05   27.3   4.2   1   1   8.9e-08   0.00013   26.2   4.2     5    49     2    46     1    52 0.93 mol:protein length:299  E23P-YFP, GFP-like fluorescent chromoprotein FP506, related, chimeric construct,
1kz2_A               -             16 phmmer_results       -             57    0.0017   22.6   5.5   1   1   1.2e-06    0.0017   22.6   5.5    42    57     1    16     1    16 0.97 mol:protein length:16  Antennapedia protein
2da6_A               -            102 phmmer_results       -             57    0.0036   21.6   0.3   1   2     0.026        38    8.7   0.1    11    38    17    44     8    47 0.82 mol:protein length:102  Hepatocyte nuclear factor 1-beta
2da6_A               -            102 phmmer_results       -             57    0.0036   21.6   0.3   2   2    0.0051       7.5   11.0   0.0    39    53    66    80    55    83 0.89 mol:protein length:102  Hepatocyte nuclear factor 1-beta
2ecc_A               -             76 phmmer_results       -             57    0.0042   21.4   0.2   1   1     4e-06    0.0059   20.9   0.2     6    56     9    59     6    60 0.94 mol:protein length:76  Homeobox and leucine zipper protein Homez
1lfb_A               -             99 phmmer_results       -             57    0.0052   21.1   2.5   1   2     0.013        20    9.7   0.5     1    38    10    47    10    50 0.86 mol:protein length:99  LIVER TRANSCRIPTION FACTOR (LFB1)
1lfb_A               -             99 phmmer_results       -             57    0.0052   21.1   2.5   2   2     0.004       5.9   11.3   0.1    39    53    69    83    53    85 0.84 mol:protein length:99  LIVER TRANSCRIPTION FACTOR (LFB1)
2lfb_A               -            100 phmmer_results       -             57    0.0054   21.1   2.5   1   2     0.013        20    9.6   0.5     1    38    11    48    11    51 0.85 mol:protein length:100  LFB1/HNF1 TRANSCRIPTION FACTOR
